Song title,Producer,VIRTUAL SINGER ver. singers,SEKAI ver. singers,Unit,3DPV,Date added,Description,Table,Expected release date,Date released,Date removed,Reason
SToRY,"DECO*27, Horie Shota (kemu) (arranger)","Hatsune Miku, Kagamine Rin, Megurine Luka, MEIKO",Leo/need,Leo/need,No,2025/02/06,Project SEKAI the Movie: Kowareta SEKAI to Utaenai MIKU Leo/need song,Table 2,,,,
FUN!!,"DECO*27, iyowa (arranger)","Hatsune Miku, Kagamine Rin, Megurine Luka, MEIKO",MORE MORE JUMP!,MORE MORE JUMP!,No,2025/01/31,Project SEKAI the Movie: Kowareta SEKAI to Utaenai MIKU MORE MORE JUMP! song,Table 2,,,,
Fire Dance,"DECO*27, Giga (arranger)","Hatsune Miku, Kagamine Len, MEIKO, KAITO",Vivid BAD SQUAD,Vivid BAD SQUAD,No,2025/01/25,Project SEKAI the Movie: Kowareta SEKAI to Utaenai MIKU Vivid BAD SQUAD song,Table 2,,,,
Smile*Symphony,"DECO*27, Niru Kajitsu (arranger)","Hatsune Miku, Kagamine Rin, Kagamine Len, KAITO",Wonderlands×Showtime,Wonderlands×Showtime,No,2025/02/03,Project SEKAI the Movie: Kowareta SEKAI to Utaenai MIKU Wonderlands×Showtime song,Table 2,,,,
"Hello, SEKAI","DECO*27, tepe (arranger)","Hatsune Miku, Kagamine Rin, Kagamine Len, Megurine Luka, MEIKO, KAITO",N/A,VIRTUAL SINGER,No,2025/02/09,Project SEKAI the Movie: Kowareta SEKAI to Utaenai MIKU VIRTUAL SINGER song,Table 2,,,,
Worlders,"Jin, TeddyLoid",N/A,All Project SEKAI Cast,Mixed,No,2025/01/29,Project SEKAI the Movie: Kowareta SEKAI to Utaenai MIKU Ending song,Table 2,,,,
Anti You,Chinozo,N/A,"MORE MORE JUMP!, Megurine Luka",MORE MORE JUMP!,No,2025/02/10,Rise and Striveevent song,Table 2,,,,
D/N/A,Azari,"Hatsune Miku, Kagamine Rin, Megurine Luka, MEIKO","25-ji, Nightcord de., Kagamine Rin","25-ji, Nightcord de.",No,2025/03/20,Unreliable Notesevent song,Table 2,,,,
Sympathy,Eve,N/A,"Leo/need, Hatsune Miku",Leo/need,No,2025/03/30,Find the dream viewevent song,Table 2,,,,
Kousenka,Guiano,Kasane Teto,"Vivid BAD SQUAD, Hatsune Miku",Vivid BAD SQUAD,No,2025/05/31,Aim higher and higher!event song,Table 2,,,,
Ari no Mama no Story o,Noboru↑,N/A,"MORE MORE JUMP!, KAITO",MORE MORE JUMP!,No,2025/07/23,start rolling! stars' crossingevent song,Table 2,,,,
Toumei na Palette,Aqu3ra,Hatsune Miku,"Leo/need, Kagamine Rin",Leo/need,No,2025/07/15,"Unsteady, still steady stepevent song",Table 2,,,,
lily-lala,Zangi,Hatsune Miku,N/A,VIRTUAL SINGER,No,,28th Proseka NEXT Song Contest Winner,Table 3,2025/08/18,,,
BLOOD DOLL,Fuyuuu,Hatsune Miku,N/A,VIRTUAL SINGER,No,,28th Proseka NEXT Song Contest Winner,Table 3,2025/09/??,,,
SANchi Chokusou,STEAKA,Hatsune Miku,N/A,VIRTUAL SINGER,No,,3rd Proseka ULTIMATE Song Contest Winner,Table 3,2025/08/22,,,
0.0000034,Musanuriyu,Hatsune Miku,N/A,VIRTUAL SINGER,No,,3rd Proseka ULTIMATE Song Contest Winner,Table 3,2025/11/??,,,
Surges,Orangestar,"IA, Hatsune Miku","Vivid BAD SQUAD, Megurine Luka",Vivid BAD SQUAD,No,,,Table 3,2025/08/12,,,
Lustrous,*Luna,Hatsune Miku,N/A,VIRTUAL SINGER,No,,Magical Mirai 2025 Theme Song,Table 3,2025/08/29,,,
Asagao no Chiru Koro ni,Pusu (from TUYU),Hatsune Miku,"Hoshino Ichika, Mochizuki Honami, Hatsune Miku",Leo/need,,,,Table 4,,2022/05/23,2024/07/09,Association with Pusu (from TUYU)
Donna Ketsumatsu ga Onozomi Dai?,TUYU,Hatsune Miku,"Wonderlands×Showtime, Hatsune Miku",Wonderlands×Showtime,,,,Table 4,,2022/10/21,2024/07/09,Association with Pusu (from TUYU)
